Model,Accuracy,Precision,Recall,F1-score,CV Mean,CV Std
Logisticka regresija,0.5842,0.5888,0.5842,0.5808,0.5184,0.0668
KNN (K=1),0.6316,0.6331,0.6316,0.6308,0.5868,0.0315
SVM (RBF kernel),0.7105,0.7124,0.7105,0.7068,0.6329,0.0491
Random Forest,0.7842,0.7964,0.7842,0.7881,0.7461,0.0472
Random Forest (Tuned),0.7947,0.8126,0.7947,0.7998,0.7408,0.049
XGBoost,0.8105,0.8262,0.8105,0.8146,0.7395,0.0327
XGBoost (Tuned),0.8316,0.8396,0.8316,0.8339,0.7553,0.0371
XGBoost (Top 5 atributa),0.7579,0.766,0.7579,0.7608,0.7263,0.0284
